Incident ID,Primary Affected Service,Description (Sanitized),UX Theme
EN13494,Khibrah,تحية طيبة وبعد نتقدم لكم بمقترح وملاحظة تتعلق بالمنصة,خصوصية/حماية البيانات في الواجهة والمستندات
EN13498,Zawil,العميل يرغب باضافة صلاحيات يتم تمكينها للمستخدمين,صلاحيات وأدوار المستخدم (تخصيص/حجب/وصول)
IM3087296,Cargo Gate,العميل لدية مشكلة في شحن الرصيد لاصدار فاتورة,الدفع/الفوترة/المحفظة/الاسترجاع (تجربة مالية)
IM3087316,NSP-Portal-CSA,شكوى من عدم ظهور خانة رفع الاعتراض في المنصة,اختفاء خيار/زر/حقل أو عدم ظهوره | رفع المرفقات/التحميل والإدخال في النماذج
IM3087329,Ertah,لا يمكن رفع الاعتراض - رسالة خطأ,اختفاء خيار/زر/حقل أو عدم ظهوره
IM3087330,AMN,تمت المحاولة باستعادة كلمة المرور أكثر من مرة ولا يوجد نتيجة,إدارة الحساب/المصادقة (OTP/تسجيل/استعادة)
IM3087336,Muqeem V3,Error message when the client tries issuance new package,اختفاء خيار/زر/حقل أو عدم ظهوره
IM3087401,Ertah,استلام رمز OTP لا يصل للمستخدم,إدارة الحساب/المصادقة (OTP/تسجيل/استعادة)
IM3087402,Ertah,حلقة استعادة كلمة المرور لا تنتهي,إدارة الحساب/المصادقة (OTP/تسجيل/استعادة)
IM3087403,NSP-Portal-CSA,تسجيل الدخول معلق منذ ساعتين,إدارة الحساب/المصادقة (OTP/تسجيل/استعادة)
IM3087404,Muqeem V3,فاتورة تجديد الإقامة لا تظهر في المحفظة,الدفع/الفوترة/المحفظة/الاسترجاع (تجربة مالية)
IM3087405,Fasah Pay,استرجاع غامض بدون تنبيه,الدفع/الفوترة/المحفظة/الاسترجاع (تجربة مالية)
IM3087406,Cargo Gate,شحن رصيد فاشل,الدفع/الفوترة/المحفظة/الاسترجاع (تجربة مالية)
IM3087407,Ertah,رسالة SMS تصل لمستخدم خاطئ,الرسائل/الإشعارات غير المرغوبة أو بالخطأ
IM3087408,NSP-Portal-CSA,إشعار غير مرغوب فيه يصل بصورة متكررة,الرسائل/الإشعارات غير المرغوبة أو بالخطأ
IM3087409,Ertah,رفع المرفقات يفشل بدون رسالة خطأ واضحة,رفع المرفقات/التحميل والإدخال في النماذج
IM3087410,TMS,تعديل بيانات الطلب غير ممكن بعد الإرسال,تعديل/تحديث البيانات غير ممكن أو معقد
IM3087411,New TAMM,واجهة الترجمة غير متسقة بين العربي والإنجليزي,اللغة/الترجمة/التعريب غير متسقة
IM3087412,Muqeem V3,صلاحية الوصول محجوبة عن المستخدم,صلاحيات وأدوار المستخدم (تخصيص/حجب/وصول)
IM3087413,Ertah,زر تقديم الطلب اختفى من الشاشة الرئيسية,اختفاء خيار/زر/حقل أو عدم ظهوره
